Country,Clicks,Impressions,CTR,Position
India,8,196,4.08%,9.63
United Kingdom,1,9,11.11%,3.11
United States,0,205,0%,7.91
Brazil,0,20,0%,6.1
Australia,0,14,0%,6.93
France,0,12,0%,4.83
Indonesia,0,8,0%,6.38
Canada,0,6,0%,5.67
Spain,0,6,0%,6
Italy,0,6,0%,6.17
Paraguay,0,6,0%,6.67
Mexico,0,4,0%,3.5
Philippines,0,4,0%,3.75
Vietnam,0,4,0%,4.5
Japan,0,4,0%,5.25
Chile,0,4,0%,6.25
Argentina,0,3,0%,3.67
United Arab Emirates,0,3,0%,4.67
Bulgaria,0,3,0%,4.67
Ecuador,0,3,0%,5
Denmark,0,3,0%,6.33
South Korea,0,3,0%,6.67
Turkey,0,3,0%,8
Nepal,0,2,0%,3.5
Israel,0,2,0%,4
Algeria,0,2,0%,5
Netherlands,0,2,0%,5
Sweden,0,2,0%,5.5
Poland,0,2,0%,6.5
Portugal,0,2,0%,8
Romania,0,2,0%,19
Barbados,0,1,0%,1
Colombia,0,1,0%,1
Czechia,0,1,0%,1
Luxembourg,0,1,0%,1
China,0,1,0%,2
Hong Kong,0,1,0%,2
Lithuania,0,1,0%,2
Ukraine,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,3
Morocco,0,1,0%,3
Slovenia,0,1,0%,3
Austria,0,1,0%,4
Guam,0,1,0%,4
Egypt,0,1,0%,5
Belgium,0,1,0%,6
Germany,0,1,0%,6
Croatia,0,1,0%,6
Peru,0,1,0%,7
Thailand,0,1,0%,8
Albania,0,1,0%,9
Bangladesh,0,1,0%,9
Iran,0,1,0%,9
Malaysia,0,1,0%,9
Hungary,0,1,0%,10
Syria,0,1,0%,10
Uruguay,0,1,0%,10
Kuwait,0,1,0%,11
Unknown Region,0,1,0%,12
Greece,0,1,0%,32
