Country,Clicks,Impressions,CTR,Position
India,9,288,3.12%,9.62
United States,0,138,0%,5.77
Brazil,0,34,0%,5.09
United Kingdom,0,12,0%,6.33
Canada,0,9,0%,7.67
France,0,8,0%,7.12
Colombia,0,6,0%,6.67
Spain,0,4,0%,4.25
Peru,0,4,0%,5.25
Chile,0,4,0%,9
Russia,0,3,0%,5
Argentina,0,3,0%,6
Italy,0,3,0%,6
Nepal,0,2,0%,2.5
China,0,2,0%,3
South Korea,0,2,0%,4
Indonesia,0,2,0%,4.5
Czechia,0,2,0%,5.5
Mexico,0,2,0%,6
Bangladesh,0,2,0%,6.5
Australia,0,2,0%,7
Ireland,0,2,0%,9.5
Malaysia,0,2,0%,11
Azerbaijan,0,1,0%,1
Bolivia,0,1,0%,1
Ethiopia,0,1,0%,1
Portugal,0,1,0%,1
Paraguay,0,1,0%,1
Jamaica,0,1,0%,3
Hong Kong,0,1,0%,4
Iraq,0,1,0%,4
Ukraine,0,1,0%,4
Poland,0,1,0%,5
Serbia,0,1,0%,5
Slovakia,0,1,0%,5
Netherlands,0,1,0%,6
Philippines,0,1,0%,6
Saudi Arabia,0,1,0%,7
Vietnam,0,1,0%,7
Bulgaria,0,1,0%,8
Guatemala,0,1,0%,8
Macedonia,0,1,0%,8
Uruguay,0,1,0%,8
Hungary,0,1,0%,9
Tunisia,0,1,0%,9
Algeria,0,1,0%,10
Turkey,0,1,0%,19
